Comment,Designator,Footprint,LCSC
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D35,D36,D37,D38,D4,D5,D6,D7,D8,D9",D_SOD-123,C909967
Conn_01x08_Female,J1,3JST_BAT,
nice_nano,U1,nice_nano,
SW_Push,SW21,choc_hotswap,
SW_Push,SW30,choc_hotswap,
SW_Push,SW22,choc_hotswap,
Rotary_Encoder_Switch,SW26,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,
SW_Push,SW34,ResetSW,
SW_Push,SW40,choc_hotswap,
SW_Push,SW39,choc_hotswap,
SW_Push,SW38,choc_hotswap,
SW_Push,SW37,choc_hotswap,
SW_Push,SW32,choc_hotswap,
SW_Push,SW31,choc_hotswap,
SW_Push,SW29,choc_hotswap,
SW_Push,SW28,choc_hotswap,
SW_Push,SW27,choc_hotswap,
SW_SPDT,SW25,SW_SPDT_PCM12,
SW_Push,SW24,choc_hotswap,
SW_Push,SW23,choc_hotswap,
SW_Push,SW20,choc_hotswap,
SW_Push,SW19,choc_hotswap,
SW_Push,SW18,choc_hotswap,
SW_Push,SW17,choc_hotswap,
SW_Push,SW16,choc_hotswap,
SW_Push,SW15,choc_hotswap,
SW_Push,SW14,choc_hotswap,
SW_Push,SW13,choc_hotswap,
SW_Push,SW12,choc_hotswap,
SW_Push,SW11,choc_hotswap,
SW_Push,SW10,choc_hotswap,
SW_Push,SW9,choc_hotswap,
SW_Push,SW8,choc_hotswap,
SW_Push,SW7,choc_hotswap,
SW_Push,SW6,choc_hotswap,
SW_Push,SW5,choc_hotswap,
SW_Push,SW4,choc_hotswap,
SW_Push,SW3,choc_hotswap,
SW_Push,SW2,choc_hotswap,
SW_Push,SW1,choc_hotswap,
nice!view,Display1,nice_view,
